Episode,Steps,Reward,Success,Collision,Timeout,Moving_Success_Rate_50Ep,Epsilon,Avg_Loss
347,250,14.6021,0,0,1,0.1,0.05,0.184538
348,250,11.577,0,0,1,0.1,0.05,0.216109
349,250,16.4462,0,0,1,0.1,0.05,0.307072
350,250,8.8923,0,0,1,0.1,0.05,0.267691
351,250,17.2436,0,0,1,0.1,0.05,0.172894
352,250,16.5511,0,0,1,0.08,0.05,0.214739
353,250,13.687,0,0,1,0.08,0.05,0.178515
354,250,-11.1302,0,0,1,0.08,0.05,0.246762
355,250,10.9096,0,0,1,0.08,0.05,0.173967
356,250,8.0635,0,0,1,0.08,0.05,0.190814
357,215,-18.5005,0,1,0,0.08,0.05,0.162567
358,250,7.7905,0,0,1,0.08,0.05,0.217718
359,213,27.2487,1,0,0,0.1,0.05,0.190622
360,250,-9.5646,0,0,1,0.1,0.05,0.221728
361,250,-1.2188,0,0,1,0.1,0.05,0.206944
362,250,-6.9372,0,0,1,0.1,0.05,0.225473
363,215,29.907,1,0,0,0.1,0.05,0.341122
364,194,23.3643,1,0,0,0.12,0.05,0.191127
365,237,-15.1057,0,1,0,0.12,0.05,0.242667
366,250,14.2055,0,0,1,0.12,0.05,0.151437
367,250,11.8007,0,0,1,0.12,0.05,0.20717
368,169,-9.7518,0,1,0,0.12,0.05,0.183064
369,250,-3.0364,0,0,1,0.12,0.05,0.1805
370,250,-1.0981,0,0,1,0.12,0.05,0.40825
371,181,22.7526,1,0,0,0.14,0.05,0.358476
372,250,9.212,0,0,1,0.14,0.05,0.249608
373,157,-11.2767,0,1,0,0.14,0.05,0.185498
374,250,-11.976,0,0,1,0.14,0.05,0.20038
375,222,24.0262,1,0,0,0.16,0.05,0.166096
376,250,5.9228,0,0,1,0.14,0.05,0.21692
377,250,-6.2433,0,0,1,0.14,0.05,0.24628
378,250,2.4409,0,0,1,0.14,0.05,0.200487
379,250,1.2244,0,0,1,0.14,0.05,0.170811
380,250,10.4108,0,0,1,0.14,0.05,0.179318
381,250,-9.9684,0,0,1,0.14,0.05,0.255897
382,250,14.9946,0,0,1,0.14,0.05,0.235865
383,250,20.9909,0,0,1,0.14,0.05,0.186741
384,250,-10.4555,0,0,1,0.14,0.05,0.179615
385,181,24.2003,1,0,0,0.14,0.05,0.177389
386,250,15.7429,0,0,1,0.14,0.05,0.17874
387,250,9.8904,0,0,1,0.14,0.05,0.18085
388,250,-2.278,0,0,1,0.12,0.05,0.268957
389,199,-15.1445,0,1,0,0.12,0.05,0.246155
390,250,9.947,0,0,1,0.12,0.05,0.500732
391,250,-2.2785,0,0,1,0.12,0.05,0.238724
392,250,13.9643,0,0,1,0.12,0.05,0.213601
393,250,-0.0126,0,0,1,0.12,0.05,0.191597
394,250,-4.2374,0,0,1,0.12,0.05,0.360759
395,250,5.8495,0,0,1,0.12,0.05,0.326375
396,232,27.3939,1,0,0,0.14,0.05,0.200608
397,250,-4.0724,0,0,1,0.14,0.05,0.348216
398,250,15.9514,0,0,1,0.14,0.05,0.250065
399,250,-0.4202,0,0,1,0.14,0.05,0.424996
400,250,-5.1227,0,0,1,0.14,0.05,0.185644
401,250,-8.4054,0,0,1,0.14,0.05,0.185885
402,250,-8.7648,0,0,1,0.14,0.05,0.36445
403,250,15.064,0,0,1,0.14,0.05,0.42688
404,250,-8.9503,0,0,1,0.14,0.05,0.303778
405,250,5.6385,0,0,1,0.14,0.05,0.245952
406,190,-11.5764,0,1,0,0.14,0.05,0.250298
407,250,-4.2418,0,0,1,0.14,0.05,0.292732
408,250,-9.5405,0,0,1,0.14,0.05,0.21323
409,250,1.461,0,0,1,0.12,0.05,0.285852
410,250,-4.357,0,0,1,0.12,0.05,0.239379
411,250,12.1758,0,0,1,0.12,0.05,0.249116
412,250,11.0455,0,0,1,0.12,0.05,0.235645
413,250,-6.7293,0,0,1,0.1,0.05,0.208984
414,212,27.8758,1,0,0,0.1,0.05,0.196386
415,185,25.1719,1,0,0,0.12,0.05,0.234922
416,250,-8.6847,0,0,1,0.12,0.05,0.264942
417,250,12.1008,0,0,1,0.12,0.05,0.980825
418,250,-7.6209,0,0,1,0.12,0.05,0.253778
419,199,-19.0909,0,1,0,0.12,0.05,0.157348
420,241,27.0996,1,0,0,0.14,0.05,0.219347
421,184,-16.8288,0,1,0,0.12,0.05,0.95298
422,250,-8.7336,0,0,1,0.12,0.05,0.286899
423,250,-10.8565,0,0,1,0.12,0.05,0.542674
424,242,23.7673,1,0,0,0.14,0.05,0.356165
425,210,-15.0681,0,1,0,0.12,0.05,0.30426
426,250,14.9521,0,0,1,0.12,0.05,0.295168
427,250,17.2831,0,0,1,0.12,0.05,0.261145
428,250,-9.592,0,0,1,0.12,0.05,0.736768
429,168,23.1866,1,0,0,0.14,0.05,0.368694
430,250,14.8899,0,0,1,0.14,0.05,0.246327
431,250,3.4945,0,0,1,0.14,0.05,0.273765
432,250,12.9151,0,0,1,0.14,0.05,0.343001
433,250,-8.0062,0,0,1,0.14,0.05,0.350683
434,250,-8.3734,0,0,1,0.14,0.05,0.329404
435,250,17.0274,0,0,1,0.12,0.05,0.363083
436,250,-9.0147,0,0,1,0.12,0.05,1.135091
437,250,17.5361,0,0,1,0.12,0.05,0.478034
438,174,-12.619,0,1,0,0.12,0.05,0.313283
439,250,16.5991,0,0,1,0.12,0.05,0.475585
440,209,22.372,1,0,0,0.14,0.05,0.37192
441,223,27.0107,1,0,0,0.16,0.05,0.28593
442,207,-11.9625,0,1,0,0.16,0.05,0.379213
443,250,-2.6996,0,0,1,0.16,0.05,0.382489
444,250,12.7665,0,0,1,0.16,0.05,0.350619
445,250,-1.405,0,0,1,0.16,0.05,0.503951
446,250,13.512,0,0,1,0.14,0.05,1.31509
447,151,-17.8229,0,1,0,0.14,0.05,0.312644
448,250,10.8135,0,0,1,0.14,0.05,0.26822
449,250,10.9662,0,0,1,0.14,0.05,0.94003
450,250,12.0059,0,0,1,0.14,0.05,0.432885
451,250,10.6505,0,0,1,0.14,0.05,0.405839
452,164,-18.7836,0,1,0,0.14,0.05,0.459289
453,250,-7.0246,0,0,1,0.14,0.05,0.638093
454,250,-3.0327,0,0,1,0.14,0.05,0.36173
455,167,-18.9577,0,1,0,0.14,0.05,0.399836
456,250,5.1876,0,0,1,0.14,0.05,0.308605
457,250,4.7215,0,0,1,0.14,0.05,0.318057
458,250,-4.6768,0,0,1,0.14,0.05,0.496616
459,250,-7.1239,0,0,1,0.14,0.05,0.570516
460,152,-19.6154,0,1,0,0.14,0.05,0.307661
461,250,-2.0645,0,0,1,0.14,0.05,0.511994
462,250,11.2389,0,0,1,0.14,0.05,0.296586
463,212,-18.5187,0,1,0,0.14,0.05,0.341286
464,182,22.9373,1,0,0,0.14,0.05,0.431791
465,103,-16.5188,0,1,0,0.12,0.05,0.641196
466,250,9.9615,0,0,1,0.12,0.05,0.441025
467,250,-4.9692,0,0,1,0.12,0.05,0.370607
468,143,-17.1965,0,1,0,0.12,0.05,0.261429
469,250,-6.777,0,0,1,0.12,0.05,0.680299
470,155,-19.6462,0,1,0,0.1,0.05,0.385721
471,250,12.1455,0,0,1,0.1,0.05,1.492862
472,239,-17.4749,0,1,0,0.1,0.05,0.84913
473,250,8.8104,0,0,1,0.1,0.05,0.529308
474,250,7.5633,0,0,1,0.08,0.05,0.605096
475,82,-16.0236,0,1,0,0.08,0.05,0.391872
476,153,-10.1507,0,1,0,0.08,0.05,0.578479
477,250,-3.8635,0,0,1,0.08,0.05,0.43735
478,250,5.4816,0,0,1,0.08,0.05,0.381795
479,250,-10.6652,0,0,1,0.06,0.05,0.46701
480,250,-11.0265,0,0,1,0.06,0.05,0.659959
481,250,7.3247,0,0,1,0.06,0.05,0.374122
482,250,16.7323,0,0,1,0.06,0.05,0.352649
483,250,0.034,0,0,1,0.06,0.05,0.371849
484,250,17.6386,0,0,1,0.06,0.05,1.408381
485,250,11.684,0,0,1,0.06,0.05,0.59848
