Episode,Baseline_D3QN_Reward,VLA_Guarded_Reward,Baseline_Success_Rate,VLA_Guarded_Success_Rate,Baseline_Outcome,VLA_Guarded_Outcome
264,24.6136,24.6181,0.22,0.16,success,success
265,12.6855,-11.3037,0.22,0.16,timeout,timeout
266,21.5853,21.4545,0.22,0.16,timeout,timeout
267,17.9989,11.1773,0.2,0.16,timeout,timeout
268,1.6195,1.0046,0.2,0.16,timeout,timeout
269,18.3632,-4.5496,0.2,0.16,timeout,collision
270,10.7484,1.7915,0.18,0.16,timeout,timeout
271,24.6015,2.9361,0.2,0.16,success,timeout
272,9.2746,0.564,0.18,0.16,timeout,timeout
273,15.463,10.4936,0.18,0.16,timeout,timeout
274,-1.6259,-10.0009,0.18,0.16,timeout,collision
275,-19.3511,-20.395,0.18,0.16,collision,collision
276,9.1635,-14.2874,0.18,0.14,timeout,collision
277,14.2233,8.4446,0.18,0.14,timeout,timeout
278,7.5022,5.4576,0.18,0.14,timeout,timeout
279,10.0054,22.2308,0.18,0.16,timeout,success
280,22.6852,-3.4143,0.18,0.16,timeout,collision
281,3.8907,-2.2152,0.18,0.16,timeout,timeout
282,-5.0057,22.9105,0.18,0.18,collision,success
283,11.8416,3.66,0.18,0.18,timeout,timeout
284,13.8165,16.4512,0.16,0.18,timeout,timeout
285,1.6946,0.2956,0.16,0.18,timeout,timeout
286,13.6039,11.8845,0.16,0.18,timeout,timeout
287,17.9908,-5.1903,0.16,0.16,timeout,collision
288,15.4949,-0.5134,0.16,0.16,timeout,timeout
289,14.6958,11.4397,0.16,0.16,timeout,timeout
290,27.0842,26.7835,0.18,0.18,success,success
291,3.1233,12.6294,0.18,0.16,timeout,timeout
292,-8.4184,-10.2037,0.18,0.16,timeout,timeout
293,10.77,-19.7238,0.18,0.16,timeout,collision
294,11.2341,17.2368,0.16,0.16,timeout,timeout
295,-8.388,4.9816,0.16,0.16,timeout,timeout
296,11.3177,10.6577,0.16,0.16,timeout,timeout
297,26.4849,26.3701,0.18,0.18,success,success
298,4.4885,-12.777,0.18,0.18,timeout,collision
299,-6.5944,-8.4071,0.18,0.18,timeout,timeout
300,13.873,11.6902,0.18,0.18,timeout,timeout
